#  dt		   adj R^2 dual    adj R^2 single mode diffusion
   1.0000000e+01  -4.3755494e+00   9.9544290e-01
   1.2000000e+01  -2.1276168e+00   9.9615861e-01
   1.4000000e+01  -1.8900986e-01   9.8731072e-01
   1.6000000e+01  -1.3259630e-02   9.9632207e-01
   1.8000000e+01   2.9173008e-01   9.9842731e-01
   2.0000000e+01   6.7760758e-01   9.9656154e-01
   2.2000000e+01   7.8012369e-01   9.9180903e-01
   2.4000000e+01   8.6355165e-01   9.9664827e-01
   2.6000000e+01   9.2764567e-01   9.9125265e-01
   2.8000000e+01   9.6940244e-01   9.9757462e-01
   3.0000000e+01   9.7731917e-01   9.9411061e-01
   3.5000000e+01   9.9663659e-01   9.9663659e-01
   4.0000000e+01   9.9538564e-01   9.9538564e-01
   4.5000000e+01             NaN   9.9963661e-01
   5.0000000e+01             NaN   9.9987799e-01
